CBO 94 Ocupação;CBO 02;nomenclatura;POTECoriginal;potec;Potec Grupo
04315;215210;Primeiro oficial-maquinista (embarcações);Demais Ocupações;Demais Ocupações;Demais Ocupações
04320;215205;Oficial-maquinista (embarcações);Demais Ocupações;Demais Ocupações;Demais Ocupações
04330;215220;Superintendente técnico (embarcações);Demais Ocupações;Demais Ocupações;Demais Ocupações
04390;215205;Outros oficiais-maquinistas (navegação marítima e interior);Demais Ocupações;Demais Ocupações;Demais Ocupações
05110;221105;Biologista, em geral;Biólogos e biomédicos;Biólogos e biomédicos;Profissionais Científicos
05120;203025;Botânico;Pesquisadores;Pesquisadores;Pesquisadores
05125;203005;Ecólogo;Pesquisadores;Pesquisadores;Pesquisadores
05130;203010;Zoólogo;Pesquisadores;Pesquisadores;Pesquisadores
05140;203015;Anatomista;Pesquisadores;Pesquisadores;Pesquisadores
05150;203020;Fisiologista;Pesquisadores;Pesquisadores;Pesquisadores
05190;203005;Outros biologistas e trabalhadores assemelhados;Pesquisadores;Pesquisadores;Pesquisadores
05230;223410;Bioquímico;Demais Ocupações;Demais Ocupações;Demais Ocupações
05250;203015;Bacteriologista;Pesquisadores;Pesquisadores;Pesquisadores
05270;223405;Farmacologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
05290;203015;Outros  bacteriologistas, farmacologistas e trabalhadores assemelhados;Pesquisadores;Pesquisadores;Pesquisadores
06105;#N/D;Médico, em geral;Demais Ocupações;Demais Ocupações;Demais Ocupações
06110;#N/D;Cirurgião, em geral;Demais Ocupações;Demais Ocupações;Demais Ocupações
06113;#N/D;Médico de perícias médicas;Demais Ocupações;Demais Ocupações;Demais Ocupações
06115;#N/D;Médico anestesista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06117;#N/D;Médico cardiologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06119;#N/D;Médico dermatologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06122;#N/D;Médico do trabalho;Demais Ocupações;Demais Ocupações;Demais Ocupações
06125;#N/D;Médico endocrinologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06127;#N/D;Médico endoscopista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06128;#N/D;Médico fisiatra;Demais Ocupações;Demais Ocupações;Demais Ocupações
06132;#N/D;Médico ginecologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06135;#N/D;Médico hemoterapeuta;Demais Ocupações;Demais Ocupações;Demais Ocupações
06137;#N/D;Médico legista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06138;#N/D;Médico nefrologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06140;#N/D;Médico sanitarista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06142;#N/D;Médico neurologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06145;#N/D;Médico obstetra;Demais Ocupações;Demais Ocupações;Demais Ocupações
06147;#N/D;Médico oftalmologista;Demais Ocupações;Demais Ocupações;Demais Ocupações
06148;#N/D;Médico homeopata;Demais Ocupações;Demais Ocupações;Demais Ocupações
