CBO Ocupação 2002;potec
325115;Demais Ocupações
325205;Demais Ocupações
325210;Demais Ocupações
325305;Demais Ocupações
325310;Demais Ocupações
328105;Demais Ocupações
328110;Demais Ocupações
331105;Demais Ocupações
331110;Demais Ocupações
331205;Demais Ocupações
331305;Demais Ocupações
332105;Demais Ocupações
332205;Demais Ocupações
333105;Demais Ocupações
333110;Demais Ocupações
333115;Demais Ocupações
334105;Demais Ocupações
334110;Demais Ocupações
334115;Demais Ocupações
341105;Demais Ocupações
341110;Demais Ocupações
341115;Demais Ocupações
341120;Demais Ocupações
341205;Demais Ocupações
341210;Demais Ocupações
341215;Demais Ocupações
341220;Demais Ocupações
341225;Demais Ocupações
341230;Demais Ocupações
341235;Demais Ocupações
341240;Demais Ocupações
341245;Demais Ocupações
341250;Demais Ocupações
341305;Demais Ocupações
341310;Demais Ocupações
341315;Demais Ocupações
341320;Demais Ocupações
341325;Demais Ocupações
342105;Demais Ocupações
342110;Demais Ocupações
342115;Demais Ocupações
342120;Demais Ocupações
342125;Demais Ocupações
342205;Demais Ocupações
342210;Demais Ocupações
342215;Demais Ocupações
342305;Demais Ocupações
342310;Demais Ocupações
342315;Demais Ocupações
342405;Demais Ocupações
342410;Demais Ocupações
342505;Demais Ocupações
342510;Demais Ocupações
342515;Demais Ocupações
342520;Demais Ocupações
342525;Demais Ocupações
342530;Demais Ocupações
342535;Demais Ocupações
342540;Demais Ocupações
